dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy,score_cocktails_default,score_cocktails_random
44,spambase,4601.0,57.0,0.0,0.0,0.0,0.0,0.9238970588235292,0.917095588235294,0.9477941176470588,0.9027573529411764,0.9332720588235294,0.9420955882352942,,3626.0,False,,0.9283088235294118,0.9301470588235294
151,electricity,45312.0,8.0,1.0,0.0,0.0,0.0,0.7895118002896822,0.7409389111357246,0.8666013461702308,0.8344636619238306,0.787722586691659,0.8623583539234898,,38474.0,False,,0.8128993780352731,0.821121240521428
293,covertype,581012.0,54.0,0.0,0.0,0.0,0.0,0.8243466666666667,0.6164866666666666,0.8189733333333333,0.7644066666666667,0.7845133333333333,0.8278800000000001,,566602.0,False,,0.8374,0.8528341086508026
351,codrna,488565.0,8.0,0.0,0.0,0.0,0.0,0.96186,0.95284,0.9642,0.93188,0.9630733333333332,0.95746,,325710.0,False,,0.9623,0.9635126001737956
357,vehicle_sensIT,98528.0,100.0,0.0,0.0,0.0,0.0,0.8463466666666667,0.8577933333333334,0.86792,0.7824933333333333,0.8291933333333332,0.8628866666666667,,98528.0,False,,0.8428333333333333,0.8647639115027296
720,abalone,4177.0,8.0,1.0,0.0,0.0,0.0,0.7868694955964772,0.7831865492393915,0.7646116893514812,0.7143314651721376,0.7932746196957565,0.7844675740592474,,4162.0,False,,0.7806244995996797,0.77822257806245
722,pol,15000.0,48.0,0.0,22.0,0.0,0.0,0.6953388429752065,0.8565950413223142,0.985190082644628,0.9722314049586778,0.985785123966942,0.9816859504132232,,10082.0,False,,0.9077685950413223,0.984793388429752
734,ailerons,13750.0,40.0,0.0,7.0,0.0,0.0,0.8662853874749785,0.8773234200743494,0.8844152130397482,0.8304832713754647,0.8738919073491564,0.8719473834715471,,11656.0,False,,0.8618816128109809,0.8887617958249928
737,space_ga,3107.0,6.0,0.0,0.0,0.0,0.0,0.8745945945945947,0.8324324324324325,0.8421621621621622,0.7591351351351352,0.8592432432432432,0.8337297297297297,,3082.0,False,,0.8497297297297297,0.865945945945946
761,cpu_act,8192.0,21.0,0.0,0.0,0.0,0.0,0.9236045729657028,0.9245460659045058,0.9301950235373236,0.8883658372562205,0.9305985205110964,0.9276395427034296,,4954.0,False,,0.9199731002017484,0.9287155346334902
821,house_16H,22784.0,16.0,0.0,0.0,0.0,0.0,0.8711638250555968,0.8237706943414874,0.8812453669384729,0.8131455399061032,0.8743760810476896,0.8781813689152458,,13488.0,False,,0.8542129972819372,0.8781813689152459
823,houses,20640.0,8.0,0.0,0.0,0.0,0.0,0.9827631332959432,0.9629463451112358,0.9828379136287156,0.97573378201533,0.9821648906337634,0.983249205458964,,17828.0,False,,0.9835483267900542,0.9749485885212188
846,elevators,16599.0,18.0,0.0,2.0,0.0,0.0,0.87268593699253,0.8696979538811302,0.8610587853199091,0.7537512179278986,0.8773627801234166,0.8268918480025983,,10260.0,False,,0.8720363754465735,0.8778824293601819
847,wind,6574.0,14.0,0.0,0.0,0.0,0.0,0.8495661605206074,0.8488069414316703,0.8568329718004339,0.7911062906724512,0.8656182212581346,0.8569414316702819,,6146.0,False,,0.8443600867678959,0.85412147505423
976,JapaneseVowels,9961.0,14.0,0.0,0.0,0.0,0.0,0.9902992776057792,0.9531475748194014,0.9839009287925696,0.9525283797729618,0.9857585139318884,0.9834881320949432,,3228.0,False,,0.9958720330237358,0.9927760577915375
993,kdd_ipums_la_97-small,7019.0,60.0,27.0,13.0,0.0,0.0,0.8369942196531792,0.8291586384071934,0.8795118818240205,0.8409762363519588,0.8463712267180477,0.8823378291586383,,5188.0,False,,0.8342967244701349,0.8497109826589595
1044,eye_movements,10936.0,27.0,3.0,4.0,0.0,0.0,0.583442838370565,0.5531318440648268,0.6592203241349102,0.5667104686815595,0.5889618922470434,0.6432763907139728,,7608.0,False,,0.5843188786684187,0.5860709592641261
1053,jm1,10885.0,21.0,0.0,0.0,0.0,5.0,0.6591125198098255,0.6535657686212362,0.6481774960380349,0.6158478605388272,0.6567353407290015,0.6613312202852615,,4206.0,False,,0.6537242472266244,0.6481774960380349
1110,KDDCup99_full,4898431.0,41.0,7.0,6.0,0.0,0.0,0.9997666666666668,0.9999933333333332,1.0,0.9999666666666668,0.9999666666666668,1.0,,2144034.0,False,,1.0,0.9999990606068292
1120,MagicTelescope,19020.0,10.0,0.0,0.0,0.0,0.0,0.8515823573386493,0.7671567405930725,0.8612010964365812,0.7902317468228257,0.8515823573386495,0.8558185895838525,,13376.0,False,,0.8492399700971841,0.8666832793421381
1222,letter-challenge-unlabeled.arff,20000.0,16.0,0.0,0.0,0.0,0.0,0.548987108655617,0.5560313075506447,0.5949815837937384,0.5576887661141804,0.5746777163904235,0.5773480662983426,,14480.0,False,,0.5568600368324125,0.5865561694290976
1461,bank-marketing,45211.0,16.0,9.0,0.0,0.0,0.0,0.7882797731568998,0.7470069313169503,0.7935097668557025,0.7277252678008822,0.7918084436042848,0.797416509136736,,10578.0,False,,0.782608695652174,0.797416509136736
1476,gas-drift,13910.0,128.0,0.0,0.0,0.0,0.0,0.9981776765375854,0.998519362186788,0.9979498861047836,0.9931662870159452,0.998633257403189,0.9980637813211845,,5852.0,False,,0.9982915717539864,0.9977220956719818
1478,har,10299.0,561.0,0.0,0.0,0.0,0.0,0.9993006993006992,1.0,0.9998251748251747,1.0,0.9993006993006992,1.0,,3812.0,False,,1.0,1.0
